TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-6,CEQ0175,EPL-AR1-Line1,D1012493,1.9,6171-ASM-00000508,21194-345,21194-345,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
RKAUL,MPAGTAMA,2021-09-21T15:00:20.6271718+10:00,2021-09-21T15:00:28.9359310+10:00,67605254,682823606,1,False,8308,True,EC:13:38:01:69:7F,1930,True,6,True,2,3079,2959,5704,4664,9413,3227,8916,2074,658,7905,7290,15,False,6355
RKAUL,MPAGTAMA,2021-09-21T15:00:15.7446734+10:00,2021-09-21T15:00:29.4248386+10:00,67605253,682532557,2,True,13680,True,D0:93:53:F0:73:A9,1962,True,45,True,2,3042,2934,5575,4610,7974,3195,9548,2026,235,7739,8172,17,True,6696,True,2326,True,-55,D0:93:53:F0:73:A9,1137,True,3050,4667,4889,197,True,678,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,MPAGTAMA,2021-09-21T15:00:23.0543661+10:00,2021-09-21T15:00:37.0177285+10:00,67605255,682386318,4,True,13963,True,D7:74:03:A7:3E:B1,2136,True,4,True,2,3105,3007,5677,4723,4190,3163,10614,2031,139,8209,8824,15,True,6745,True,2343,True,-51,D7:74:03:A7:3E:B1,812,True,3041,4817,5091,600,True,681,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,MPAGTAMA,2021-09-21T15:00:40.3107891+10:00,2021-09-21T15:00:53.9377854+10:00,67605257,682532557,2,True,13626,True,C2:27:89:64:68:14,1707,True,177,True,2,3062,2940,5591,4583,9040,3125,8935,2037,1,7827,7611,77,True,6695,True,2329,True,-56,C4:56:53:85:2E:AF,1099,True,3114,4644,4850,221,True,696,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,MPAGTAMA,2021-09-21T15:00:40.0740458+10:00,2021-09-21T15:00:54.3616694+10:00,67605258,682823606,1,True,14287,True,C2:27:89:64:68:14,2081,True,4,True,2,3003,2872,5506,4487,8596,3211,8852,2069,418,7162,6909,15,True,6778,True,2423,True,-53,C2:27:89:64:68:14,1070,True,3058,4783,5072,261,True,703,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,936
RKAUL,MPAGTAMA,2021-09-21T15:00:43.9072624+10:00,2021-09-21T15:00:58.2552297+10:00,67605259,682314450,3,True,14347,True,E8:A8:73:22:C1:6A,2131,True,44,True,2,3058,2959,5613,4675,4975,3157,8840,2080,265,7939,7943,16,True,6708,True,2431,True,-54,E8:A8:73:22:C1:6A,1293,True,3150,4921,5098,402,True,682,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,632
RKAUL,MPAGTAMA,2021-09-21T15:00:51.4880434+10:00,2021-09-21T15:01:00.3486835+10:00,4294967295,682386318,4,False,8860,False,,8860
RKAUL,MPAGTAMA,2021-09-21T15:01:06.7862766+10:00,2021-09-21T15:01:13.5923272+10:00,67605254,682823606,1,False,6806,True,EC:13:38:01:69:7F,1797,True,0,False,,,,,,,,,,,,,5008
RKAUL,MPAGTAMA,2021-09-21T15:00:59.0775959+10:00,2021-09-21T15:01:13.9194398+10:00,67605260,682532557,2,True,14841,True,F2:22:74:F6:32:E3,2005,True,52,True,2,3053,2933,5575,4562,5194,3157,10885,1994,51,6273,6624,16,True,6710,True,2332,True,-55,F2:22:74:F6:32:E3,1746,True,3092,4916,5220,678,True,680,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,MPAGTAMA,2021-09-21T15:01:09.5806279+10:00,2021-09-21T15:01:22.7534960+10:00,67605256,682386318,4,True,13172,True,FA:23:C5:2A:3A:B0,1829,True,0,True,2,3114,3030,6145,5233,4052,3072,8223,2112,510,7190,7467,44,True,6777,True,2339,True,-52,FA:23:C5:2A:3A:B0,721,True,3082,4789,5016,151,True,686,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
