TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-1,CEQ0275,EPL-AR1-Line4,D1012493,1.9,6171-ASM-00000508,21194-345,21194-345,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
RKAUL,DBUHSE,2021-09-21T15:00:15.1965535+10:00,2021-09-21T15:00:29.4444789+10:00,151542295,682969367,1,True,14247,True,FD:8B:FA:F9:F0:0E,1899,True,9,True,2,3062,2933,5613,4621,8403,3131,7330,2031,195,8017,7324,12,True,6921,True,2332,True,-50,FD:8B:FA:F9:F0:0E,1398,True,3123,4821,4952,363,True,685,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,DBUHSE,2021-09-21T15:00:18.9758729+10:00,2021-09-21T15:00:32.6590352+10:00,151542296,682513590,2,True,13683,True,C2:D5:7C:6A:19:58,1989,True,4,True,2,3119,3005,5741,4739,8216,3168,8969,2058,279,6751,7103,15,True,6702,True,2326,True,-55,C2:D5:7C:6A:19:58,855,True,3198,4877,5012,479,True,694,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,DBUHSE,2021-09-21T15:00:21.4808614+10:00,2021-09-21T15:00:35.5028516+10:00,151542297,682686855,3,True,14021,True,C9:08:25:CA:A9:46,406,True,213,True,2,3092,2977,5672,4739,4977,3157,8624,2053,344,7194,8602,1368,True,6792,True,2342,True,-53,D5:E2:C9:22:EC:91,926,True,3251,4952,5091,394,True,686,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,889
RKAUL,DBUHSE,2021-09-21T15:00:25.8213424+10:00,2021-09-21T15:00:39.7217912+10:00,151542298,682837671,4,True,13900,True,E5:52:18:F5:2B:33,418,True,213,True,2,3072,2941,5640,4605,7649,3147,10219,2080,184,7376,7084,1419,True,6787,True,2386,True,-55,DB:75:1D:EF:50:B9,1073,True,3258,5011,5090,300,True,682,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,614
RKAUL,DBUHSE,2021-09-21T15:00:33.4756583+10:00,2021-09-21T15:00:47.2428331+10:00,151542299,682969367,1,True,13767,True,DE:8A:2B:D7:55:69,2037,True,4,True,2,3070,2934,5650,4573,7280,3163,9405,2048,414,8288,7924,16,True,6719,True,2400,True,-50,DE:8A:2B:D7:55:69,951,True,3075,4766,4926,336,True,682,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,DBUHSE,2021-09-21T15:00:38.1611833+10:00,2021-09-21T15:00:51.7908957+10:00,151542300,682513590,2,True,13629,True,EC:E6:4C:85:9F:A2,1897,True,55,True,2,3077,2945,5613,4583,5325,3131,10319,2015,1,7743,7084,16,True,6706,True,2331,True,-54,EC:E6:4C:85:9F:A2,987,True,3253,4893,5039,335,True,681,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,DBUHSE,2021-09-21T15:00:40.7792938+10:00,2021-09-21T15:00:54.7146481+10:00,151542301,682686855,3,True,13935,True,DA:EC:F5:11:D7:23,2092,True,5,True,2,3046,2910,5554,4567,6715,3114,8900,2010,120,6863,6857,13,True,6730,True,2424,True,-55,DA:EC:F5:11:D7:23,935,True,3226,4959,5106,398,True,687,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
RKAUL,DBUHSE,2021-09-21T15:00:44.5247869+10:00,2021-09-21T15:00:58.3419871+10:00,151542302,682837671,4,True,13817,True,CE:0C:A5:D2:C9:BF,2078,True,4,True,2,3112,3004,5741,4776,7905,3259,5178,2096,892,6692,7411,15,True,6774,True,2327,True,-55,CE:0C:A5:D2:C9:BF,1003,True,3232,4982,5309,312,True,681,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,DBUHSE,2021-09-21T15:02:37.2698577+10:00,2021-09-21T15:02:45.6331962+10:00,151542303,682969367,1,False,8363,True,EC:5D:4E:AA:6F:06,1930,True,48,True,2,3099,2990,5656,4696,4495,3147,12062,2026,44,6843,7449,16,False,6366
RKAUL,DBUHSE,2021-09-21T15:02:40.2256621+10:00,2021-09-21T15:02:54.1209128+10:00,151542304,682513590,2,True,13895,True,D7:CF:7E:6F:87:C8,595,True,81,True,2,3060,2922,5629,4573,9793,3147,5988,2037,206,7420,7667,1448,True,6742,True,2430,True,-53,EE:A8:32:60:A9:37,996,True,3216,4862,4991,258,True,693,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
