TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-8,CEQ0178,EPL-AR2-Line1,D1012493,1.9,6171-ASM-00000505,21194-239,21194-239,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
jasdeep kaur,GKEAN,2021-09-20T14:05:55.6726036+10:00,2021-09-20T14:06:09.8277682+10:00,101173843,682650454,4,True,14155,True,D5:A6:FC:2C:BF:27,468,True,214,True,2,3022,2891,5565,4498,6663,3211,9727,2031,243,7255,7237,1417,True,6899,True,2402,True,-53,D1:23:1F:EE:E3:DA,1239,True,3264,4807,5094,195,True,688,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,616
jasdeep kaur,GKEAN,2021-09-20T14:05:58.4158368+10:00,2021-09-20T14:06:12.1869836+10:00,101173844,682002291,3,True,13771,True,DB:14:8F:D9:06:AF,2074,True,5,True,2,3038,2899,5570,4541,4958,3168,8598,2058,512,7046,6713,16,True,6706,True,2341,True,-52,DB:14:8F:D9:06:AF,993,True,3096,4843,5012,335,True,684,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,609
jasdeep kaur,GKEAN,2021-09-20T14:06:00.6788257+10:00,2021-09-20T14:06:15.1207021+10:00,101173845,682949409,2,True,14441,True,D5:A6:FC:2C:BF:27,582,True,239,True,2,2999,2830,5490,4385,6093,3136,9702,2010,148,7659,6823,1042,True,6822,True,2344,True,-49,D0:0F:6A:BE:EE:C7,1472,True,3092,4845,5054,641,True,680,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
jasdeep kaur,GKEAN,2021-09-20T14:06:02.4727313+10:00,2021-09-20T14:06:16.1965059+10:00,101173846,682121853,1,True,13723,True,D5:A6:FC:2C:BF:27,1704,True,231,True,2,3044,2920,5586,4557,5128,3189,8271,2101,423,7346,7469,76,True,6755,True,2332,True,-51,DB:B3:7B:69:83:DA,1138,True,3123,4798,5021,186,True,681,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
jasdeep kaur,GKEAN,2021-09-20T14:06:20.8002047+10:00,2021-09-20T14:06:36.1793210+10:00,101173847,682650454,4,True,15379,True,D5:A6:FC:2C:BF:27,2017,True,97,True,2,3111,3004,5704,4734,8221,3206,8678,2107,654,7004,7503,75,True,6716,True,2432,True,-54,C5:C0:9D:ED:4E:36,2449,True,3200,4758,4989,256,True,686,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
jasdeep kaur,GKEAN,2021-09-20T14:06:23.2387413+10:00,2021-09-20T14:06:38.2075946+10:00,101173848,682002291,3,True,14968,True,DF:E7:45:80:E4:48,2126,True,4,True,2,3028,2888,5602,4551,7813,3259,5415,2096,853,7400,6615,306,True,6704,True,2367,True,-52,DF:E7:45:80:E4:48,1415,True,3300,4948,5058,743,True,682,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
jasdeep kaur,GKEAN,2021-09-20T14:06:26.1285428+10:00,2021-09-20T14:06:40.5114792+10:00,101173849,682949409,2,True,14382,True,D5:A6:FC:2C:BF:27,532,True,154,True,2,3061,2940,5640,4616,9673,3227,8080,2107,521,7024,7843,1450,True,6752,True,2427,True,-48,DF:02:C3:B0:06:BB,1516,True,3201,4874,4974,213,True,688,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
jasdeep kaur,GKEAN,2021-09-20T14:06:28.6755576+10:00,2021-09-20T14:06:43.4704938+10:00,101173850,682121853,1,True,14794,True,D5:A6:FC:2C:BF:27,396,True,120,True,2,3022,2896,5538,4557,10914,3141,6573,1983,8,7458,7176,1447,True,6797,True,2435,True,-50,F2:B7:94:45:34:03,1990,True,3292,4959,5038,263,True,693,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,644
jasdeep kaur,GKEAN,2021-09-20T14:06:38.8020034+10:00,2021-09-20T14:06:52.8156015+10:00,101173851,682650454,4,True,14013,True,D5:A6:FC:2C:BF:27,625,True,18,True,2,3022,2886,5548,4546,6832,3211,7645,2053,572,8381,7110,1369,True,6834,True,2333,True,-52,D8:DB:98:95:C1:AB,1339,True,3335,4900,5047,190,True,684,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
jasdeep kaur,GKEAN,2021-09-20T14:06:41.3666608+10:00,2021-09-20T14:06:55.1298008+10:00,101173852,682002291,3,True,13763,True,D5:A6:FC:2C:BF:27,578,True,79,True,2,3027,2877,5532,4439,9100,3227,7934,2069,277,7148,7248,1368,True,6756,True,2341,True,-52,CF:42:B6:C7:4B:0C,999,True,3287,4891,5043,328,True,692,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,615
