TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-11,CEQ0192,EPL-AR2-Line4,D1012493,1.9,6171-ASM-00000505,21194-239,21194-239,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
DHANN,ATRAN,2021-09-21T06:45:57.4098978+10:00,2021-09-21T06:46:11.6295663+10:00,184933614,682392120,1,True,14219,True,E0:3D:AD:14:70:E3,2028,True,6,True,2,3055,2931,5650,4589,7817,3200,8253,2069,579,6608,6943,12,True,7183,True,2359,True,-51,E0:3D:AD:14:70:E3,1038,True,3130,4980,5103,278,True,688,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,614
DHANN,ATRAN,2021-09-21T06:45:57.6711072+10:00,2021-09-21T06:46:12.1658148+10:00,184933613,682152607,2,True,14494,True,E0:3D:AD:14:70:E3,1729,True,300,True,2,3040,2919,5597,4600,7698,3163,10198,2085,731,7051,8041,7,True,6928,True,2423,True,-51,D7:8B:80:EA:DD:16,1162,True,3210,5179,5273,607,True,685,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
DHANN,ATRAN,2021-09-21T06:46:01.3767177+10:00,2021-09-21T06:46:12.8491934+10:00,4294967295,682491332,3,False,11472,False,D2:0D:93:28:F6:64,11472
DHANN,ATRAN,2021-09-21T06:46:01.3767177+10:00,2021-09-21T06:46:15.3936910+10:00,184933615,682981537,4,True,14016,True,E5:1B:95:84:8B:9D,2121,True,4,True,2,3069,2938,5613,4642,8994,3222,5975,2080,263,7265,7552,12,True,6738,True,2336,True,-55,E5:1B:95:84:8B:9D,1305,True,3076,4899,5195,200,True,679,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
DHANN,ATRAN,2021-09-21T06:46:19.6935215+10:00,2021-09-21T06:46:25.0274226+10:00,184933616,682491332,3,True,5333,True,E5:4B:AD:7E:6C:1E,2233,True,4,True,2,3070,2950,5645,4626,6012,3200,9245,2053,337,8104,7484,13,True,18,True,116,True,-53,E5:4B:AD:7E:6C:1E,1376,True,3064,4871,5036,225,True,695,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
DHANN,ATRAN,2021-09-21T06:46:36.4527120+10:00,2021-09-21T06:46:50.2797809+10:00,184933617,682491332,3,True,13827,True,CE:9E:A3:3C:B0:EC,240,True,263,True,2,3057,2939,5634,4653,5959,3216,9830,2069,388,7152,7108,1447,True,6785,True,2425,True,-53,F2:BF:79:67:D2:20,818,True,3023,4839,5019,513,True,684,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
DHANN,ATRAN,2021-09-21T06:46:38.0960002+10:00,2021-09-21T06:46:51.7951893+10:00,184933618,682392120,1,True,13699,True,D0:DB:E0:F5:50:EE,361,True,246,True,2,3050,2932,5602,4653,6528,3147,9212,2026,158,7773,7743,1367,True,6762,True,2334,True,-52,EF:31:DB:84:1B:62,1070,True,3000,4844,4987,261,True,679,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
DHANN,ATRAN,2021-09-21T06:46:47.5495504+10:00,2021-09-21T06:47:01.0189380+10:00,184933619,682152607,2,True,13469,True,D0:DB:E0:F5:50:EE,1364,True,38,True,2,3002,2899,5484,4530,5488,3179,11149,2053,434,7982,8078,16,True,7022,True,2435,True,-51,D0:DB:E0:F5:50:EE,984,True,3108,5104,5217,269,True,689,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,641
DHANN,ATRAN,2021-09-21T06:47:09.7024727+10:00,2021-09-21T06:47:23.3986897+10:00,184933620,682392120,1,True,13696,True,E1:A8:71:E4:49:26,1900,True,7,True,2,3055,2924,5607,4535,7309,3189,11016,2069,533,6557,6508,16,True,6781,True,2335,True,-55,E1:A8:71:E4:49:26,1165,True,3116,4860,5000,177,True,686,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
DHANN,ATRAN,2021-09-21T06:47:39.7128301+10:00,2021-09-21T06:47:53.5420372+10:00,184933621,682981537,4,True,13829,True,C2:E3:AB:3B:E1:D2,806,True,104,True,2,2976,2800,5457,4353,6937,3173,6299,2064,426,6565,7540,1092,True,6793,True,2431,True,-55,D2:D5:DE:4C:5A:EF,858,True,3046,5036,5159,401,True,686,True,CovidHomeAg,4,N/A ,21194-239,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,644
